0,49300
1,13800
2,0
3,0
4,200
5,23900
6,118900
7,168000
8,228300
9,271000
10,313000
11,289100
12,287100
13,298100
14,318800
15,335700
16,365600
17,351800
18,340700
19,291600
20,264800
21,241000
22,280900
23,132600
24,0
25,0
26,0
27,0
28,100
29,46800
30,215900
31,661600
32,891400
33,375600
34,216200
35,190500
36,208900
37,188900
38,183500
39,188600
40,252900
41,357800
42,587100
43,461500
44,296800
45,229900
46,165800
47,76300
48,0
49,0
50,0
51,0
52,200
53,35200
54,173700
55,566500
56,861600
57,387100
58,199000
59,162900
60,190900
61,169700
62,168100
63,164500
64,219200
65,332400
66,586000
67,450900
68,265500
69,203400
70,155900
71,69800
72,0
73,0
74,0
75,0
76,0
77,29100
78,161700
79,547200
80,841800
81,388200
82,185400
83,146200
84,170900
85,142500
86,141800
87,158700
88,202400
89,307100
90,570900
91,446900
92,259000
93,194500
94,162300
95,62200
96,0
97,0
98,0
99,0
100,0
101,32500
102,158100
103,567600
104,828500
105,397700
106,193700
107,175300
108,193400
109,190400
110,186400
111,196500
112,274000
113,326300
114,560600
115,448400
116,298400
117,249500
118,209400
119,118400
120,6900
121,1100
122,0
123,0
124,0
125,25100
126,109600
127,224700
128,291100
129,262200
130,218800
131,229400
132,246500
133,253800
134,251000
135,271400
136,294300
137,371100
138,365900
139,273600
140,198900
141,177500
142,238900
143,227100
144,7400
145,800
146,0
147,0
148,0
149,24100
